terms      sum_up           sum_down         rel_diff      
       1   1.00000000e+00   1.00000000e+00   0.00000000e+00
       2   1.50000000e+00   1.50000000e+00   0.00000000e+00
       3   1.83333337e+00   1.83333337e+00   0.00000000e+00
       4   2.08333349e+00   2.08333325e+00   1.14440915e-07
       5   2.28333354e+00   2.28333330e+00   1.04416891e-07
       6   2.45000029e+00   2.45000005e+00   9.73137020e-08
       7   2.59285736e+00   2.59285712e+00   9.19520673e-08
       8   2.71785736e+00   2.71785712e+00   8.77229951e-08
       9   2.82896852e+00   2.82896829e+00   8.42775663e-08
      10   2.92896843e+00   2.92896843e+00   0.00000000e+00
      16   3.38072896e+00   3.38072920e+00   7.05228302e-08
      22   3.69081330e+00   3.69081330e+00   0.00000000e+00
      28   3.92717123e+00   3.92717099e+00   6.07100077e-08
      34   4.11821032e+00   4.11820984e+00   1.15787479e-07
      40   4.27854347e+00   4.27854347e+00   0.00000000e+00
      46   4.41668749e+00   4.41668749e+00   0.00000000e+00
      52   4.53804445e+00   4.53804445e+00   0.00000000e+00
      58   4.64625502e+00   4.64625502e+00   0.00000000e+00
      64   4.74389172e+00   4.74389124e+00   1.00516033e-07
      70   4.83283758e+00   4.83283710e+00   9.86660922e-08
      76   4.91451406e+00   4.91451359e+00   9.70263159e-08
      82   4.99002075e+00   4.99001980e+00   1.91116314e-07
      88   5.06022358e+00   5.06022358e+00   0.00000000e+00
      94   5.12582064e+00   5.12581968e+00   1.86053015e-07
     100   5.18737793e+00   5.18737698e+00   1.83845174e-07
     136   5.49354267e+00   5.49354219e+00   8.67995738e-08
     172   5.72761440e+00   5.72761440e+00   0.00000000e+00
     208   5.91715670e+00   5.91715574e+00   1.61171059e-07
     244   6.07643270e+00   6.07643175e+00   1.56946427e-07
     280   6.21379089e+00   6.21378994e+00   1.53477060e-07
     316   6.33454084e+00   6.33453894e+00   3.01102943e-07
     352   6.44226933e+00   6.44226646e+00   4.44101829e-07
     388   6.53951073e+00   6.53950882e+00   2.91665373e-07
     424   6.62812948e+00   6.62812757e+00   2.87765801e-07
     460   6.70952940e+00   6.70952845e+00   1.42137296e-07
     496   6.78480005e+00   6.78479862e+00   2.10840639e-07
     532   6.85479927e+00   6.85479879e+00   6.95625317e-08
     568   6.92021751e+00   6.92021704e+00   6.89049386e-08
     604   6.98161888e+00   6.98161697e+00   2.73195781e-07
     640   7.03946638e+00   7.03946447e+00   2.70950778e-07
     676   7.09414911e+00   7.09414768e+00   2.01646685e-07
     712   7.14599752e+00   7.14599514e+00   3.33639377e-07
     748   7.19529057e+00   7.19528675e+00   5.30166005e-07
     784   7.24226618e+00   7.24226189e+00   5.92568085e-07
     820   7.28713417e+00   7.28712988e+00   5.88919534e-07
     856   7.33007717e+00   7.33007050e+00   9.10730307e-07
     892   7.37124920e+00   7.37124252e+00   9.05643390e-07
     928   7.41079330e+00   7.41078663e+00   9.00810903e-07
     964   7.44883347e+00   7.44882584e+00   1.02424076e-06
    1000   7.48547840e+00   7.48547173e+00   8.91823163e-07
    1216   7.68095350e+00   7.68094969e+00   4.96643850e-07
    1432   7.84439754e+00   7.84439278e+00   6.07869879e-07
    1648   7.98483849e+00   7.98483706e+00   1.79153474e-07
    1864   8.10796356e+00   8.10796356e+00   0.00000000e+00
    2080   8.21758461e+00   8.21758080e+00   4.64211610e-07
    2296   8.31636143e+00   8.31635857e+00   3.44023448e-07
    2512   8.40625381e+00   8.40625000e+00   4.53792893e-07
    2728   8.48872948e+00   8.48872375e+00   6.74075864e-07
    2944   8.56491566e+00   8.56491089e+00   5.56733198e-07
    3160   8.63570595e+00   8.63570213e+00   4.41735523e-07
    3376   8.70181751e+00   8.70181179e+00   6.57569274e-07
    3592   8.76382446e+00   8.76382065e+00   4.35277798e-07
    3808   8.82221222e+00   8.82220745e+00   5.40496274e-07
    4024   8.87737656e+00   8.87737274e+00   4.29710070e-07
    4240   8.92965698e+00   8.92965317e+00   4.27194237e-07
    4456   8.97933960e+00   8.97933578e+00   4.24830574e-07
    4672   9.02667141e+00   9.02666473e+00   7.39555276e-07
    4888   9.07186317e+00   9.07185555e+00   8.40995654e-07
    5104   9.11509991e+00   9.11509418e+00   6.27754787e-07
    5320   9.15654278e+00   9.15653801e+00   5.20761262e-07
    5536   9.19634056e+00   9.19633293e+00   8.29612361e-07
    5752   9.23461151e+00   9.23460484e+00   7.22902371e-07
    5968   9.27147293e+00   9.27146530e+00   8.22889490e-07
    6184   9.30702591e+00   9.30701542e+00   1.12715099e-06
    6400   9.34135342e+00   9.34134483e+00   9.18825378e-07
    6616   9.37454796e+00   9.37453461e+00   1.42422334e-06
    6832   9.40667248e+00   9.40665913e+00   1.41935948e-06
