x                 wf_exact_0        wf_0_b=0.9,dim=1
 1.00000000e-02    1.98009967e+00    1.75934882e+00
 1.09900000e-01    1.79184745e+00    1.74638846e+00
 2.09800000e-01    1.62149276e+00    1.71229588e+00
 3.09700000e-01    1.46733405e+00    1.65831040e+00
 4.09600000e-01    1.32783153e+00    1.58636054e+00
 5.09500000e-01    1.20159180e+00    1.49894959e+00
 6.09400000e-01    1.08735395e+00    1.39901127e+00
 7.09300000e-01    9.83976938e-01    1.28974680e+00
 8.09200000e-01    8.90428190e-01    1.17445603e+00
 9.09100000e-01    8.05773318e-01    1.05637502e+00
 1.00900000e+00    7.29166761e-01    9.38530824e-01
 1.10890000e+00    6.59843351e-01    8.23622148e-01
 1.20880000e+00    5.97110662e-01    7.13931510e-01
 1.30870000e+00    5.40342101e-01    6.11271491e-01
 1.40860000e+00    4.88970646e-01    5.16964583e-01
 1.50850000e+00    4.42483183e-01    4.31853553e-01
 1.60840000e+00    4.00415381e-01    3.56337281e-01
 1.70830000e+00    3.62347052e-01    2.90425726e-01
 1.80820000e+00    3.27897959e-01    2.33807244e-01
 1.90810000e+00    2.96724014e-01    1.85921622e-01
 2.00800000e+00    2.68513840e-01    1.46032962e-01
 2.10790000e+00    2.42985667e-01    1.13297662e-01
 2.20780000e+00    2.19884511e-01    8.68240537e-02
 2.30770000e+00    1.98979630e-01    6.57216150e-02
 2.40760000e+00    1.80062220e-01    4.91389025e-02
 2.50750000e+00    1.62943328e-01    3.62903984e-02
 2.60740000e+00    1.47451965e-01    2.64732388e-02
 2.70730000e+00    1.33433398e-01    1.90753044e-02
 2.80720000e+00    1.20747605e-01    1.35764096e-02
 2.90710000e+00    1.09267878e-01    9.54437396e-03
 3.00700000e+00    9.88795517e-02    6.62764166e-03
 3.10690000e+00    8.94788657e-02    4.54589760e-03
 3.20680000e+00    8.09719226e-02    3.07984837e-03
 3.30670000e+00    7.32737524e-02    2.06104788e-03
 3.40660000e+00    6.63074633e-02    1.36237255e-03
 3.50650000e+00    6.00034739e-02    8.89513910e-04
 3.60640000e+00    5.42988180e-02    5.73665407e-04
 3.70630000e+00    4.91365157e-02    3.65437943e-04
 3.80620000e+00    4.44650043e-02    2.29941665e-04
 3.90610000e+00    4.02376232e-02    1.42912680e-04
 4.00600000e+00    3.64121482e-02    8.77350063e-05
 4.10590000e+00    3.29503690e-02    5.32015295e-05
 4.20580000e+00    2.98177084e-02    3.18657674e-05
 4.30570000e+00    2.69828765e-02    1.88527064e-05
 4.40560000e+00    2.44175579e-02    1.10172216e-05
 4.50550000e+00    2.20961295e-02    6.35944947e-06
 4.60540000e+00    1.99954042e-02    3.62590162e-06
 4.70530000e+00    1.80943993e-02    2.04202742e-06
 4.80520000e+00    1.63741269e-02    1.13594206e-06
 4.90510000e+00    1.48174044e-02    6.24165625e-07
 5.00500000e+00    1.34086827e-02    3.38760350e-07
 5.10490000e+00    1.21338912e-02    1.81607741e-07
 5.20480000e+00    1.09802967e-02    9.61668071e-08
 5.30470000e+00    9.93637692e-03    5.02996654e-08
 5.40460000e+00    8.99170477e-03    2.59868747e-08
 5.50450000e+00    8.13684457e-03    1.32614822e-08
 5.60440000e+00    7.36325772e-03    6.68465716e-09
 5.70430000e+00    6.66321739e-03    3.32824484e-09
 5.80420000e+00    6.02973136e-03    1.63681824e-09
 5.90410000e+00    5.45647218e-03    7.95123703e-10
 6.00400000e+00    4.93771394e-03    3.81520609e-10
 6.10390000e+00    4.46827514e-03    1.80821623e-10
 6.20380000e+00    4.04346687e-03    8.46509392e-11
 6.30370000e+00    3.65904601e-03    3.91437345e-11
 6.40360000e+00    3.31117284e-03    1.78789409e-11
 6.50350000e+00    2.99637271e-03    8.06622591e-12
 6.60340000e+00    2.71150128e-03    3.59457897e-12
 6.70330000e+00    2.45371318e-03    1.58224866e-12
 6.80320000e+00    2.22043353e-03    6.87939902e-13
 6.90310000e+00    2.00933226e-03    2.95444100e-13
 7.00300000e+00    1.81830084e-03    1.25328315e-13
 7.10290000e+00    1.64543117e-03    5.25136419e-14
 7.20280000e+00    1.48899658e-03    2.17342237e-14
 7.30270000e+00    1.34743456e-03    8.88515864e-15
 7.40260000e+00    1.21933114e-03    3.58785841e-15
 7.50250000e+00    1.10340677e-03    1.43104887e-15
 7.60240000e+00    9.98503580e-04    5.63796908e-16
 7.70230000e+00    9.03573754e-04    2.19401692e-16
 7.80220000e+00    8.17669106e-04    8.43347019e-17
 7.90210000e+00    7.39931592e-04    3.20200284e-17
 8.00200000e+00    6.69584746e-04    1.20084283e-17
 8.10190000e+00    6.05925923e-04    4.44835751e-18
 8.20180000e+00    5.48319276e-04    1.62765462e-18
 8.30170000e+00    4.96189415e-04    5.88266185e-19
 8.40160000e+00    4.49015648e-04    2.10007387e-19
 8.50150000e+00    4.06326790e-04    7.40532829e-20
 8.60140000e+00    3.67696452e-04    2.57930749e-20
 8.70130000e+00    3.32738780e-04    8.87382744e-21
 8.80120000e+00    3.01104608e-04    3.01555947e-21
 8.90110000e+00    2.72477962e-04    1.01221757e-21
 9.00100000e+00    2.46572912e-04    3.35605373e-22
 9.10090000e+00    2.23130709e-04    1.09908934e-22
 9.20080000e+00    2.01917205e-04    3.55538099e-23
 9.30070000e+00    1.82720514e-04    1.13602621e-23
 9.40060000e+00    1.65348892e-04    3.58541652e-24
 9.50050000e+00    1.49628827e-04    1.11773780e-24
 9.60040000e+00    1.35403301e-04    3.44182922e-25
 9.70030000e+00    1.22530226e-04    1.04685795e-25
 9.80020000e+00    1.10881020e-04    3.14510572e-26
 9.90010000e+00    1.00339330e-04    9.33322641e-27
 1.00000000e+01    9.07998595e-05    2.73575632e-27


